Title,Company,Location,Link
SQL Server Developer,Persistent Systems,"New Jersey, United States",https://www.linkedin.com/jobs/view/sql-server-developer-at-persistent-systems-4165498005?position=21&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=adE5eJK3Llfgkd06%2B3mcTA%3D%3D
Data Operations Analyst,Everyday Health,"New York, NY",https://www.linkedin.com/jobs/view/data-operations-analyst-at-everyday-health-4160547137?position=22&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=BxBOxcwo4tEGiGqcY1ZCNQ%3D%3D
"Senior Manager, Data Science - PSM",LinkedIn,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/senior-manager-data-science-psm-at-linkedin-4153093413?position=23&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=eqvGYpS%2FLRNu4d9oa0lgaA%3D%3D
Consultant/ Sr. Consultant- Commercial Analytics,PharmaACE,"New Jersey, United States",https://www.linkedin.com/jobs/view/consultant-sr-consultant-commercial-analytics-at-pharmaace-4173747697?position=24&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=kam14IGhrwF7CVV5ckUzhg%3D%3D
Data Integration Analyst I,Vertafore,"Denver, CO",https://www.linkedin.com/jobs/view/data-integration-analyst-i-at-vertafore-4161141451?position=25&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=fZf5%2BOkcq4sid0YQWmmoTA%3D%3D
"Staff Data Analyst, Customer Success Strategy & Ops",The Hustle,"Cambridge, MA",https://www.linkedin.com/jobs/view/staff-data-analyst-customer-success-strategy-ops-at-the-hustle-4172518190?position=26&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=j2yCVag%2BjZl7zzFkLdae5Q%3D%3D
Senior Data Analyst,Timewise Food Stores,"Houston, TX",https://www.linkedin.com/jobs/view/senior-data-analyst-at-timewise-food-stores-4181857330?position=27&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=zb5i1Vkk3BVE2WtiPADhDQ%3D%3D
Senior Data Analyst,eClerx,"Austin, TX",https://www.linkedin.com/jobs/view/senior-data-analyst-at-eclerx-4143849595?position=28&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=dYpRM0A36ii2elJOttnnbQ%3D%3D
Data Acquisition Specialist,Socure,United States,https://www.linkedin.com/jobs/view/data-acquisition-specialist-at-socure-4147649568?position=29&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=3IxecJvkhjvJ7DNp0%2BIqiQ%3D%3D
Data Analyst - Dealer Sales,JCB North America,"Pooler, GA",https://www.linkedin.com/jobs/view/data-analyst-dealer-sales-at-jcb-north-america-4133482266?position=30&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=im%2FiWpo%2F84W0W59rovU5UA%3D%3D
Database Engineer,Persistent Systems,"Ada, MI",https://www.linkedin.com/jobs/view/database-engineer-at-persistent-systems-4159023109?position=31&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=4fNkWAqmmk6eMwaHG1FAPA%3D%3D
Database Engineer,"V-Soft Consulting Group, Inc.","Parsippany, NJ",https://www.linkedin.com/jobs/view/database-engineer-at-v-soft-consulting-group-inc-4144906229?position=32&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=lK2AX5kPfY1O%2FrlYEDEIJQ%3D%3D
Jr BA/Coordinator,STAND 8 Technology Consulting,"New York, NY",https://www.linkedin.com/jobs/view/jr-ba-coordinator-at-stand-8-technology-consulting-4158904451?position=33&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=oeiJAl%2Fm6J8tW%2FImsMDzMw%3D%3D
Sr. Data Warehouse Engineer,BETSOL,"Denver, CO",https://www.linkedin.com/jobs/view/sr-data-warehouse-engineer-at-betsol-4179400985?position=34&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=VjLPQQnipOYTrHdCyepbBA%3D%3D
Business Intelligence Analyst,Verisk,"Lehi, UT",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-verisk-4161851624?position=35&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=iyH9aan9EefM81uze8XPbQ%3D%3D
Business Intelligence Analyst,Verisk,"Lehi, UT",https://www.linkedin.com/jobs/view/business-intelligence-analyst-at-verisk-4161858036?position=36&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=c%2F9upy%2F5c%2F%2BVwCW3b3vKOw%3D%3D
Data and AI Engineer - Summer 2025 Intern,Sanofi,"Cambridge, MA",https://www.linkedin.com/jobs/view/data-and-ai-engineer-summer-2025-intern-at-sanofi-4176883003?position=37&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=sgToSFVdx2zZtXZJ41rSCg%3D%3D
Data Scientist - Bellevue,RESULTICKS,"Bellevue, WA",https://www.linkedin.com/jobs/view/data-scientist-bellevue-at-resulticks-4167234790?position=38&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=7xrVuRMKA%2BlYUiDU0QB5Ww%3D%3D
"ML Data Associate-II, Artificial General Intelligence",Amazon,"Boston, MA",https://www.linkedin.com/jobs/view/ml-data-associate-ii-artificial-general-intelligence-at-amazon-4128019547?position=39&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=ncXljaHihAici7aDi0Vkgw%3D%3D
"Staff Data Analyst, Customer Success Strategy & Ops",HubSpot,"Cambridge, MA",https://www.linkedin.com/jobs/view/staff-data-analyst-customer-success-strategy-ops-at-hubspot-4172395108?position=40&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=EK%2BcRZB%2B8nDfHCmBoUu5sQ%3D%3D
"ML Data Associate-II, Artificial General Intelligence",Amazon,"Boston, MA",https://www.linkedin.com/jobs/view/ml-data-associate-ii-artificial-general-intelligence-at-amazon-4119711027?position=41&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=9YV1%2FrApguNO3LDSarI7bg%3D%3D
Specialist- Expert,"V-Soft Consulting Group, Inc.","Raleigh, NC",https://www.linkedin.com/jobs/view/specialist-expert-at-v-soft-consulting-group-inc-4181590456?position=42&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=0p8mpH2g9E%2B0QhD2cJepmQ%3D%3D
Advanced Data Engineer 100% Remote,"V-Soft Consulting Group, Inc.","Illinois, United States",https://www.linkedin.com/jobs/view/advanced-data-engineer-100%25-remote-at-v-soft-consulting-group-inc-4181230797?position=43&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=09gYt5L1ejhXziQzaR9ALw%3D%3D
Senior BI Consultant,Quantzig,San Francisco Bay Area,https://www.linkedin.com/jobs/view/senior-bi-consultant-at-quantzig-4087717233?position=44&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=AWe1W7XPlKPRmhS%2FNhN3fw%3D%3D
Senior BI Consultant,Quantzig,Greater Minneapolis-St. Paul Area,https://www.linkedin.com/jobs/view/senior-bi-consultant-at-quantzig-4087718226?position=45&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=v54PYM19DeA20qzLmpIMoA%3D%3D
Enterprise Data Modeler,"V-Soft Consulting Group, Inc.","Richmond, VA",https://www.linkedin.com/jobs/view/enterprise-data-modeler-at-v-soft-consulting-group-inc-4130577828?position=46&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=pj67vaVZBaM43Jd%2FJjjvZw%3D%3D
Fundamental Equities Alternative Data Analyst,The D. E. Shaw Group,"New York, NY",https://www.linkedin.com/jobs/view/fundamental-equities-alternative-data-analyst-at-the-d-e-shaw-group-4084834343?position=47&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=1O47ab5tMAfMyM0s5F012A%3D%3D
"Senior Analyst, Strategic Insights",Chegg Inc.,United States,https://www.linkedin.com/jobs/view/senior-analyst-strategic-insights-at-chegg-inc-4176383606?position=48&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=1M%2FRqTmHly3h%2Buo%2F%2F7mKnQ%3D%3D
Senior BI Consultant,Quantzig,"Austin, TX",https://www.linkedin.com/jobs/view/senior-bi-consultant-at-quantzig-4087713690?position=49&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=ElSrLpelbCzAgaFwvV%2B97w%3D%3D
"Director, Data Analysis",Zelis,"Texas, United States",https://www.linkedin.com/jobs/view/director-data-analysis-at-zelis-4182956874?position=50&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=cuR82tdS81r5kjsAgeu%2BvQ%3D%3D
"Senior Data Analyst | Research Operations | Hybrid or Remote, US",Savanta,United States,https://www.linkedin.com/jobs/view/senior-data-analyst-research-operations-hybrid-or-remote-us-at-savanta-4182114704?position=51&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=EzmHzyhP1nFgXVUrNC1a%2BQ%3D%3D
Data Scientist,MatchPoint,"Sunnyvale, CA",https://www.linkedin.com/jobs/view/data-scientist-at-matchpoint-4178073711?position=52&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=C8neYkq%2BTV4Cfa8Hy%2FiSpw%3D%3D
Associate Developer,CEI,"Pittsburgh, PA",https://www.linkedin.com/jobs/view/associate-developer-at-cei-4179640707?position=53&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=2FhFBDN1mcTsiFNYdNUgRQ%3D%3D
Data Quality Analyst,IntegriChain,Greater Philadelphia,https://www.linkedin.com/jobs/view/data-quality-analyst-at-integrichain-4158902101?position=54&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=5PtWEXnMPU52qW9Rul0%2BTg%3D%3D
"Director, Data Analysis",Zelis,"Hillsborough County, FL",https://www.linkedin.com/jobs/view/director-data-analysis-at-zelis-4182963379?position=55&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=aZgvSf%2Fnaee8A3tt8imAIA%3D%3D
Data Modeler - Data Engineering (Healthcare),Exusia,United States,https://www.linkedin.com/jobs/view/data-modeler-data-engineering-healthcare-at-exusia-4143877822?position=56&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=emZM6F%2Bq3mwCbu9GD1jddg%3D%3D
Data Engineer: Big Data,MNJ SOFTWARE,"Home, KS",https://www.linkedin.com/jobs/view/data-engineer-big-data-at-mnj-software-4148834197?position=57&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=KgL25prAsCuN2qVhS3ECLw%3D%3D
Senior Data Engineer,WaferWire Cloud Technologies,"Redmond, WA",https://www.linkedin.com/jobs/view/senior-data-engineer-at-waferwire-cloud-technologies-4180051317?position=58&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=gEaDvUjXeadRJpHm3owptg%3D%3D
Revenue Operations & Analytics Associate,Instawork,"Chicago, IL",https://www.linkedin.com/jobs/view/revenue-operations-analytics-associate-at-instawork-4127908835?position=59&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=ACVszqBwnh%2FbYsqazNe2tw%3D%3D
Head of Data Sciences & Analysis,Pfizer,"New York, NY",https://www.linkedin.com/jobs/view/head-of-data-sciences-analysis-at-pfizer-4182468111?position=60&pageNum=0&refId=Ll%2BGbeWbCE6vnW15SXC0Cg%3D%3D&trackingId=4Cc%2BIJwm5lT8%2F3g%2FTKitAQ%3D%3D
Business Data Analyst,"V-Soft Consulting Group, Inc.","Richmond, VA",https://www.linkedin.com/jobs/view/business-data-analyst-at-v-soft-consulting-group-inc-4139907050?position=1&pageNum=0&refId=Eh%2B2PKkvHeaU3UlzCJhJ%2FA%3D%3D&trackingId=FDdoeblaC8FM0QFieV5vXw%3D%3D
